investor_name,score,distance,investments,neighbors
E-Fund,0.05329948660349368,1,47,<generator object Runner.run.<locals>.<genexpr> at 0x11dbba7a0>
Google,0.26245383949507334,1,149,<generator object Runner.run.<locals>.<genexpr> at 0x11dbba810>
Hashed,0.1410965831761978,1,81,<generator object Runner.run.<locals>.<genexpr> at 0x11dbba880>
Jovono,0.2130513618765519,1,16,<generator object Runner.run.<locals>.<genexpr> at 0x11dbba8f0>
Kaszek,0.19717925134649383,1,178,<generator object Runner.run.<locals>.<genexpr> at 0x11dbba960>
NVIDIA,0.2753312775758188,1,21,<generator object Runner.run.<locals>.<genexpr> at 0x11dbba9d0>
Next47,0.22305435789028302,1,242,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbaa40>
Noaber,0.07494255247669375,2,13,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbaab0>
Oracle,0.4392935250270783,1,41,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbab20>
Orange,0.2281493037546546,1,16,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbab90>
SR One,0.130422428718513,1,162,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbac00>
Seedrs,0.06282625100100264,1,289,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbac70>
Serena,0.15194406864821036,1,103,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbace0>
Sky UK,0.28739727173442386,1,38,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbad50>
Sofina,0.2562090859567612,1,65,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbadc0>
Stripe,0.2925185178211142,1,45,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbae30>
VMware,0.3035237667431181,1,30,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbaea0>
Varian,0.08398799563944226,1,16,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbaf10>
Vulcan,0.185003294173595,1,29,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbaf80>
WiSEED,0.03320301013433569,2,22,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbaff0>
WndrCo,0.24138225599097596,1,87,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbb060>
istyle,0.04021265494468014,2,15,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbb0d0>
83North,0.2540556637049931,1,199,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbb140>
Alantra,0.040728493694883613,2,22,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbb1b0>
Anaxago,0.041378354351816186,2,45,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbb220>
Atomico,0.27020006339938035,1,190,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbb290>
Binance,0.141294134769091,1,55,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbb300>
Bitmain,0.12806833149456104,1,37,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbb370>
BlockVC,0.06872069937174113,1,36,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbb3e0>
Comcast,0.4265859629365968,1,23,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbb450>
Corning,0.22173969509865976,1,16,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbb4c0>
E-Merge,0.18470825855932763,1,65,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbb530>
Eurazeo,0.08690199111344929,1,187,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbb5a0>
FJ Labs,0.18068027155407101,1,552,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbb610>
Foundry,0.2937504533141512,1,329,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbb680>
Fujitsu,0.1216783354274582,1,16,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbb6f0>
